scrapeDate,departureAirportCode,departureAirportName,departureCountryCode,arrivalAirportCode,arrivalAirportName,arrivalCountryCode,duration,aantalTussenstops,availableSeats,flightNumber,carrierCode,carrierName,departureDate,departureTime,arrivalDate,arrivalTime,totalPrice,taxIncludedInPrice
2023-03-18,BRU,BRUSSELS AIRPORT,BE,CFU,IOANNIS KAPODISTRIAS,GR,02:45,0,9,SN3259,SN,BRUSSELS AIRLINES,2023-05-14,07:00:00+02:00,2023-05-14,10:45:00+03:00,265.14,76.14
2023-03-18,BRU,BRUSSELS AIRPORT,BE,CFU,IOANNIS KAPODISTRIAS,GR,06:40,1,8,SN5629,SN,BRUSSELS AIRLINES,2023-05-14,06:55:00+02:00,2023-05-14,14:35:00+03:00,378.58,143.58
2023-03-18,BRU,BRUSSELS AIRPORT,BE,CFU,IOANNIS KAPODISTRIAS,GR,07:20,1,9,SN8172,SN,BRUSSELS AIRLINES,2023-05-17,06:50:00+02:00,2023-05-17,15:10:00+03:00,487.38,148.38
2023-03-18,BRU,BRUSSELS AIRPORT,BE,CFU,IOANNIS KAPODISTRIAS,GR,08:20,1,9,SN4545,SN,BRUSSELS AIRLINES,2023-05-17,06:55:00+02:00,2023-05-17,16:15:00+03:00,512.38,143.38
2023-03-18,BRU,BRUSSELS AIRPORT,BE,CFU,IOANNIS KAPODISTRIAS,GR,12:35,2,9,SN5631,SN,BRUSSELS AIRLINES,2023-05-18,19:00:00+02:00,2023-05-19,08:35:00+03:00,332.32,173.32
2023-03-18,BRU,BRUSSELS AIRPORT,BE,CFU,IOANNIS KAPODISTRIAS,GR,12:20,1,9,SN5589,SN,BRUSSELS AIRLINES,2023-05-18,19:15:00+02:00,2023-05-19,08:35:00+03:00,333.88,144.88
2023-03-18,BRU,BRUSSELS AIRPORT,BE,CFU,IOANNIS KAPODISTRIAS,GR,02:45,0,9,SN3259,SN,BRUSSELS AIRLINES,2023-05-18,12:00:00+02:00,2023-05-18,15:45:00+03:00,421.14,82.14
2023-03-18,BRU,BRUSSELS AIRPORT,BE,CFU,IOANNIS KAPODISTRIAS,GR,12:20,1,9,SN5589,SN,BRUSSELS AIRLINES,2023-05-20,19:15:00+02:00,2023-05-21,08:35:00+03:00,120.88,76.88
2023-03-18,BRU,BRUSSELS AIRPORT,BE,CFU,IOANNIS KAPODISTRIAS,GR,05:40,1,2,SN5629,SN,BRUSSELS AIRLINES,2023-05-20,06:55:00+02:00,2023-05-20,13:35:00+03:00,378.58,143.58
2023-03-18,BRU,BRUSSELS AIRPORT,BE,CFU,IOANNIS KAPODISTRIAS,GR,18:20,2,2,SN5589,SN,BRUSSELS AIRLINES,2023-05-20,19:15:00+02:00,2023-05-21,14:35:00+03:00,453.32,218.32
2023-03-18,BRU,BRUSSELS AIRPORT,BE,CFU,IOANNIS KAPODISTRIAS,GR,18:20,2,2,SN5589,SN,BRUSSELS AIRLINES,2023-05-20,19:15:00+02:00,2023-05-21,14:35:00+03:00,505.32,218.32
2023-03-18,BRU,BRUSSELS AIRPORT,BE,CFU,IOANNIS KAPODISTRIAS,GR,02:45,0,9,SN3259,SN,BRUSSELS AIRLINES,2023-05-21,07:00:00+02:00,2023-05-21,10:45:00+03:00,226.14,67.14
2023-03-18,BRU,BRUSSELS AIRPORT,BE,CFU,IOANNIS KAPODISTRIAS,GR,06:40,1,2,SN5629,SN,BRUSSELS AIRLINES,2023-05-21,06:55:00+02:00,2023-05-21,14:35:00+03:00,378.58,143.58
2023-03-18,BRU,BRUSSELS AIRPORT,BE,CFU,IOANNIS KAPODISTRIAS,GR,06:35,2,9,SN5587,SN,BRUSSELS AIRLINES,2023-05-21,07:00:00+02:00,2023-05-21,14:35:00+03:00,551.11,212.11
2023-03-18,BRU,BRUSSELS AIRPORT,BE,CFU,IOANNIS KAPODISTRIAS,GR,06:55,1,8,SN4545,SN,BRUSSELS AIRLINES,2023-05-22,06:55:00+02:00,2023-05-22,14:50:00+03:00,259.38,105.38
2023-03-18,BRU,BRUSSELS AIRPORT,BE,CFU,IOANNIS KAPODISTRIAS,GR,07:30,2,9,SN4551,SN,BRUSSELS AIRLINES,2023-05-22,06:20:00+02:00,2023-05-22,14:50:00+03:00,310.96,156.96
2023-03-18,BRU,BRUSSELS AIRPORT,BE,CFU,IOANNIS KAPODISTRIAS,GR,08:20,1,9,SN4545,SN,BRUSSELS AIRLINES,2023-05-24,06:55:00+02:00,2023-05-24,16:15:00+03:00,259.38,105.38
2023-03-18,BRU,BRUSSELS AIRPORT,BE,CFU,IOANNIS KAPODISTRIAS,GR,02:45,0,3,SN3259,SN,BRUSSELS AIRLINES,2023-05-25,12:00:00+02:00,2023-05-25,15:45:00+03:00,369.14,82.14
2023-03-18,BRU,BRUSSELS AIRPORT,BE,CFU,IOANNIS KAPODISTRIAS,GR,12:20,1,9,SN5589,SN,BRUSSELS AIRLINES,2023-05-25,19:15:00+02:00,2023-05-26,08:35:00+03:00,495.88,156.88
2023-03-18,BRU,BRUSSELS AIRPORT,BE,CFU,IOANNIS KAPODISTRIAS,GR,12:35,2,9,SN5631,SN,BRUSSELS AIRLINES,2023-05-25,19:00:00+02:00,2023-05-26,08:35:00+03:00,557.32,218.32
2023-03-18,BRU,BRUSSELS AIRPORT,BE,CFU,IOANNIS KAPODISTRIAS,GR,05:40,1,9,SN5629,SN,BRUSSELS AIRLINES,2023-05-27,06:55:00+02:00,2023-05-27,13:35:00+03:00,677.58,143.58
2023-03-18,BRU,BRUSSELS AIRPORT,BE,CFU,IOANNIS KAPODISTRIAS,GR,02:45,0,9,SN3259,SN,BRUSSELS AIRLINES,2023-05-28,07:00:00+02:00,2023-05-28,10:45:00+03:00,317.14,82.14
2023-03-18,BRU,BRUSSELS AIRPORT,BE,CFU,IOANNIS KAPODISTRIAS,GR,06:40,1,9,SN5629,SN,BRUSSELS AIRLINES,2023-05-28,06:55:00+02:00,2023-05-28,14:35:00+03:00,677.58,143.58
2023-03-18,BRU,BRUSSELS AIRPORT,BE,CFU,IOANNIS KAPODISTRIAS,GR,06:35,2,3,SN5587,SN,BRUSSELS AIRLINES,2023-05-28,07:00:00+02:00,2023-05-28,14:35:00+03:00,746.11,212.11
2023-03-18,BRU,BRUSSELS AIRPORT,BE,CFU,IOANNIS KAPODISTRIAS,GR,06:55,1,5,SN4545,SN,BRUSSELS AIRLINES,2023-05-29,06:55:00+02:00,2023-05-29,14:50:00+03:00,302.38,113.38
2023-03-18,BRU,BRUSSELS AIRPORT,BE,CFU,IOANNIS KAPODISTRIAS,GR,07:30,2,2,SN4551,SN,BRUSSELS AIRLINES,2023-05-29,06:20:00+02:00,2023-05-29,14:50:00+03:00,357.96,168.96
2023-03-18,BRU,BRUSSELS AIRPORT,BE,CFU,IOANNIS KAPODISTRIAS,GR,12:20,1,9,SN5589,SN,BRUSSELS AIRLINES,2023-05-31,19:15:00+02:00,2023-06-01,08:35:00+03:00,333.88,144.88
