scrapeDate,flightKey,flightNumber,departureAirportCode,departureAirportName,arrivalAirportCode,arrivalAirportName,departureDate,departureTime,arrivalDate,arrivalTime,carrierCode,carrierName,duration_formatted,price,originalPrice,hasDiscount,hasPromoDiscount,discountAmount,fareType,availableSeats
2023-03-29,FR 7737_2023-05-05,FR 7737,CRL,Brussels (Charleroi),BDS,Brindisi,2023-05-05,07:00:00,2023-05-05,09:25:00,FR,Ryanair,02:25,86.44,94.99,True,False,8.55,ADT,-1
2023-03-29,FR 1302_2023-05-05,FR 1302,CRL,Brussels (Charleroi),NAP,Naples,2023-05-05,09:10:00,2023-05-05,11:25:00,FR,Malta Air,02:15,125.33,133.99,True,False,8.66,ADT,4
2023-03-29,FR 1310_2023-05-05,FR 1310,CRL,Brussels (Charleroi),NAP,Naples,2023-05-05,20:00:00,2023-05-05,22:15:00,FR,Malta Air,02:15,78.14,85.99,True,False,7.85,ADT,2
2023-03-29,FR 6269_2023-05-05,FR 6269,CRL,Brussels (Charleroi),PMO,Palermo,2023-05-05,16:35:00,2023-05-05,19:05:00,FR,Ryanair,02:30,125.99,206.99,True,False,81.0,ADT,2
2023-03-29,FR 2941_2023-05-05,FR 2941,CRL,Brussels (Charleroi),FAO,Faro,2023-05-05,07:05:00,2023-05-05,09:00:00,FR,Ryanair,02:55,113.12,120.99,True,False,7.87,ADT,3
2023-03-29,FR 6312_2023-05-05,FR 6312,CRL,Brussels (Charleroi),FAO,Faro,2023-05-05,17:30:00,2023-05-05,19:25:00,FR,Ryanair,02:55,70.09,70.09,False,False,0.0,ADT,-1
2023-03-29,FR 3534_2023-05-05,FR 3534,CRL,Brussels (Charleroi),ALC,Alicante,2023-05-05,09:45:00,2023-05-05,12:10:00,FR,Ryanair,02:25,150.49,160.99,True,False,10.5,ADT,1
2023-03-29,FR 9053_2023-05-05,FR 9053,CRL,Brussels (Charleroi),ALC,Alicante,2023-05-05,17:20:00,2023-05-05,19:45:00,FR,Ryanair,02:25,176.99,185.99,True,False,9.0,ADT,2
2023-03-29,FR 6456_2023-05-05,FR 6456,CRL,Brussels (Charleroi),IBZ,Ibiza,2023-05-05,16:15:00,2023-05-05,18:40:00,FR,Ryanair,02:25,68.38,74.99,True,False,6.61,ADT,5
2023-03-29,FR 1928_2023-05-05,FR 1928,CRL,Brussels (Charleroi),AGP,Malaga,2023-05-05,10:00:00,2023-05-05,12:45:00,FR,Ryanair,02:45,172.49,185.99,True,False,13.5,ADT,-1
2023-03-29,FR 1916_2023-05-05,FR 1916,CRL,Brussels (Charleroi),AGP,Malaga,2023-05-05,20:55:00,2023-05-05,23:40:00,FR,Ryanair,02:45,155.27,155.27,False,False,0.0,ADT,5
2023-03-29,FR 563_2023-05-05,FR 563,CRL,Brussels (Charleroi),TFS,Tenerife (South),2023-05-05,06:30:00,2023-05-05,10:05:00,FR,Ryanair,04:35,106.52,106.52,False,False,0.0,ADT,-1
2023-03-29,FR 7986_2023-05-06,FR 7986,CRL,Brussels (Charleroi),HER,Heraklion Crete,2023-05-06,08:10:00,2023-05-06,12:35:00,FR,Ryanair,03:25,120.17,120.17,False,False,0.0,ADT,2
2023-03-29,FR 1302_2023-05-06,FR 1302,CRL,Brussels (Charleroi),NAP,Naples,2023-05-06,07:45:00,2023-05-06,10:00:00,FR,Ryanair,02:15,88.35,88.35,False,False,0.0,ADT,-1
2023-03-29,FR 6269_2023-05-06,FR 6269,CRL,Brussels (Charleroi),PMO,Palermo,2023-05-06,21:30:00,2023-05-06,23:59:00,FR,Malta Air,02:29,76.99,85.99,True,False,9.0,ADT,-1
2023-03-29,FR 2941_2023-05-06,FR 2941,CRL,Brussels (Charleroi),FAO,Faro,2023-05-06,11:05:00,2023-05-06,13:00:00,FR,Ryanair,02:55,115.79,115.79,False,False,0.0,ADT,-1
2023-03-29,FR 3534_2023-05-06,FR 3534,CRL,Brussels (Charleroi),ALC,Alicante,2023-05-06,15:50:00,2023-05-06,18:15:00,FR,Ryanair,02:25,149.39,149.39,False,False,0.0,ADT,-1
2023-03-29,FR 1916_2023-05-06,FR 1916,CRL,Brussels (Charleroi),AGP,Malaga,2023-05-06,13:35:00,2023-05-06,16:20:00,FR,Ryanair,02:45,96.89,104.99,True,False,8.1,ADT,-1
2023-03-29,FR 7831_2023-05-06,FR 7831,CRL,Brussels (Charleroi),PMI,Mallorca,2023-05-06,17:20:00,2023-05-06,19:30:00,FR,Ryanair,02:10,82.74,82.74,False,False,0.0,ADT,3
2023-03-29,FR 2923_2023-05-07,FR 2923,BRU,Brussels,AGP,Malaga,2023-05-07,09:55:00,2023-05-07,12:50:00,FR,Ryanair,02:55,101.07,101.07,False,False,0.0,ADT,4
2023-03-29,FR 6251_2023-05-07,FR 6251,CRL,Brussels (Charleroi),CFU,Corfu,2023-05-07,17:00:00,2023-05-07,20:40:00,FR,Ryanair,02:40,145.87,145.87,False,False,0.0,ADT,-1
2023-03-29,FR 7737_2023-05-07,FR 7737,CRL,Brussels (Charleroi),BDS,Brindisi,2023-05-07,17:30:00,2023-05-07,19:55:00,FR,Ryanair,02:25,89.86,94.99,True,False,5.13,ADT,1
2023-03-29,FR 1302_2023-05-07,FR 1302,CRL,Brussels (Charleroi),NAP,Naples,2023-05-07,09:45:00,2023-05-07,12:00:00,FR,Malta Air,02:15,92.27,92.27,False,False,0.0,ADT,-1
2023-03-29,FR 2941_2023-05-07,FR 2941,CRL,Brussels (Charleroi),FAO,Faro,2023-05-07,16:45:00,2023-05-07,18:40:00,FR,Ryanair,02:55,93.39,93.39,False,False,0.0,ADT,-1
2023-03-29,FR 3534_2023-05-07,FR 3534,CRL,Brussels (Charleroi),ALC,Alicante,2023-05-07,09:55:00,2023-05-07,12:20:00,FR,Ryanair,02:25,165.19,165.19,False,False,0.0,ADT,-1
2023-03-29,FR 9053_2023-05-07,FR 9053,CRL,Brussels (Charleroi),ALC,Alicante,2023-05-07,15:00:00,2023-05-07,17:25:00,FR,Ryanair,02:25,219.19,219.19,False,False,0.0,ADT,-1
2023-03-29,FR 6456_2023-05-07,FR 6456,CRL,Brussels (Charleroi),IBZ,Ibiza,2023-05-07,07:30:00,2023-05-07,09:55:00,FR,Ryanair,02:25,94.68,99.99,True,False,5.31,ADT,3
2023-03-29,FR 1916_2023-05-07,FR 1916,CRL,Brussels (Charleroi),AGP,Malaga,2023-05-07,21:30:00,2023-05-08,00:15:00,FR,Ryanair,02:45,82.74,82.74,False,False,0.0,ADT,-1
2023-03-29,FR 563_2023-05-07,FR 563,CRL,Brussels (Charleroi),TFS,Tenerife (South),2023-05-07,12:35:00,2023-05-07,16:10:00,FR,Ryanair,04:35,166.76,166.76,False,False,0.0,ADT,4
2023-03-29,FR 2923_2023-05-08,FR 2923,BRU,Brussels,AGP,Malaga,2023-05-08,17:40:00,2023-05-08,20:30:00,FR,Ryanair,02:50,86.4,96.99,True,False,10.59,ADT,-1
2023-03-29,FR 2915_2023-05-08,FR 2915,BRU,Brussels,PMI,Mallorca,2023-05-08,20:25:00,2023-05-08,22:40:00,FR,Ryanair,02:15,54.31,58.99,True,False,4.68,ADT,-1
2023-03-29,FR 8577_2023-05-08,FR 8577,CRL,Brussels (Charleroi),RHO,Rhodes,2023-05-08,12:00:00,2023-05-08,16:35:00,FR,Ryanair,03:35,107.22,107.22,False,False,0.0,ADT,3
2023-03-29,FR 7737_2023-05-08,FR 7737,CRL,Brussels (Charleroi),BDS,Brindisi,2023-05-08,20:55:00,2023-05-08,23:20:00,FR,Malta Air,02:25,59.53,59.53,False,False,0.0,ADT,-1
2023-03-29,FR 1302_2023-05-08,FR 1302,CRL,Brussels (Charleroi),NAP,Naples,2023-05-08,06:30:00,2023-05-08,08:45:00,FR,Ryanair,02:15,49.6,49.6,False,False,0.0,ADT,-1
2023-03-29,FR 1310_2023-05-08,FR 1310,CRL,Brussels (Charleroi),NAP,Naples,2023-05-08,09:30:00,2023-05-08,11:45:00,FR,Malta Air,02:15,89.92,89.92,False,False,0.0,ADT,-1
2023-03-29,FR 6269_2023-05-08,FR 6269,CRL,Brussels (Charleroi),PMO,Palermo,2023-05-08,12:05:00,2023-05-08,14:35:00,FR,Ryanair,02:30,100.99,206.99,True,False,106.0,ADT,-1
2023-03-29,FR 2941_2023-05-08,FR 2941,CRL,Brussels (Charleroi),FAO,Faro,2023-05-08,18:00:00,2023-05-08,19:55:00,FR,Ryanair,02:55,58.14,58.14,False,False,0.0,ADT,-1
2023-03-29,FR 3534_2023-05-08,FR 3534,CRL,Brussels (Charleroi),ALC,Alicante,2023-05-08,16:55:00,2023-05-08,19:20:00,FR,Ryanair,02:25,112.19,112.19,False,False,0.0,ADT,-1
2023-03-29,FR 1916_2023-05-08,FR 1916,CRL,Brussels (Charleroi),AGP,Malaga,2023-05-08,19:20:00,2023-05-08,22:05:00,FR,Ryanair,02:45,83.79,90.99,True,False,7.2,ADT,-1
2023-03-29,FR 7831_2023-05-08,FR 7831,CRL,Brussels (Charleroi),PMI,Mallorca,2023-05-08,08:55:00,2023-05-08,11:05:00,FR,Ryanair,02:10,71.49,78.99,True,False,7.5,ADT,-1
2023-03-29,FR 7986_2023-05-09,FR 7986,CRL,Brussels (Charleroi),HER,Heraklion Crete,2023-05-09,07:20:00,2023-05-09,11:45:00,FR,Ryanair,03:25,199.85,211.99,True,False,12.14,ADT,-1
2023-03-29,FR 7737_2023-05-09,FR 7737,CRL,Brussels (Charleroi),BDS,Brindisi,2023-05-09,17:20:00,2023-05-09,19:45:00,FR,Ryanair,02:25,38.43,44.99,True,False,6.56,ADT,-1
2023-03-29,FR 1302_2023-05-09,FR 1302,CRL,Brussels (Charleroi),NAP,Naples,2023-05-09,19:20:00,2023-05-09,21:35:00,FR,Malta Air,02:15,49.6,49.6,False,False,0.0,ADT,-1
2023-03-29,FR 6269_2023-05-09,FR 6269,CRL,Brussels (Charleroi),PMO,Palermo,2023-05-09,15:35:00,2023-05-09,18:05:00,FR,Ryanair,02:30,78.99,78.99,False,False,0.0,ADT,2
